# Generated from chinese-idiom-chengyu 1.1.0 WordPinyinPairs.json.
# Format: text<TAB>pinyin<TAB>weight<TAB>source-tier
# Tier 1 keeps dictionary-only idioms behind primary conversational words.
一泻百里	yi xie bai li	1	1
一浆十饼	yi jiang shi bing	1	1
一清二楚	yi qing er chu	1	1
一清二白	yi qing er bai	1	1
一清如水	yi qing ru shui	1	1
一渊不两蛟	yi yuan bu liang jiao	1	1
一溜烟	yi liu yan	1	1
一潭死水	yi tan si shui	1	1
一点一滴	yi dian yi di	1	1
一点半点	yi dian ban dian	1	1
一点灵犀	yi dian ling xi	1	1
一熏一莸	yi xun yi you	1	1
一片丹心	yi pian dan xin	1	1
一片冰心	yi pian bing xin	1	1
一片宫商	yi pian gong shang	1	1
一片散沙	yi pian san sha	1	1
一片汪洋	yi pian wang yang	1	1
一片焦土	yi pian jiao tu	1	1
一牛九锁	yi niu jiu suo	1	1
一牛鸣	yi niu ming	1	1
一牛鸣地	yi niu ming di	1	1
一物不知	yi wu bu zhi	1	1
一物降一物	yi wu xiang yi wu	1	1
一狐之掖	yi hu zhi ye	1	1
一狐之腋	yi hu zhi ye	1	1
一狠二狠	yi hen er hen	1	1
一献三售	yi xian san shou	1	1
一献三酬	yi xian san chou	1	1
一现昙华	yi xian tan hua	1	1
一班一级	yi ban yi ji	1	1
一班一辈	yi ban yi bei	1	1
一班半点	yi ban ban dian	1	1
一琴一鹤	yi qin yi he	1	1
一瓣心香	yi ban xin xiang	1	1
一生一世	yi sheng yi shi	1	1
一生一代	yi sheng yi dai	1	1
一生九死	yi sheng jiu si	1	1
一男半女	yi nan ban nv	1	1
一画开天	yi hua kai tian	1	1
一病不起	yi bing bu qi	1	1
一百二十行	yi bai er shi hang	1	1
一盘散沙	yi pan san sha	1	1
一目之士	yi mu zhi shi	1	1
一目了然	yi mu liao ran	1	1
一目五行	yi mu wu hang	1	1
一目十行	yi mu shi hang	1	1
一目数行	yi mu shu hang	1	1
一相情原	yi xiang qing yuan	1	1
一相情愿	yi xiang qing yuan	1	1
一眨巴眼	yi zha ba yan	1	1
一瞑不视	yi ming bu shi	1	1
一矢双穿	yi shi shuang chuan	1	1
一知半见	yi zhi ban jian	1	1
一知半解	yi zhi ban jie	1	1
一知片解	yi zhi pian jie	1	1
一石二鸟	yi shi er niao	1	1
一碗水端平	yi wan shui duan ping	1	1
一碧万顷	yi bi wan qing	1	1
一秉大公	yi bing da gong	1	1
一秉至公	yi bing zhi gong	1	1
一秉虔诚	yi bing qian cheng	1	1
一穷二白	yi qiong er bai	1	1
一空依傍	yi kong yi bang	1	1
一窍不通	yi qiao bu tong	1	1
一窝蜂	yi wo feng	1	1
一笑一颦	yi xiao yi pin	1	1
一笑了之	yi xiao liao zhi	1	1
一笑了事	yi xiao le shi	1	1
一笑倾城	yi xiao qing cheng	1	1
一笑千金	yi xiao qian jin	1	1
一笑百媚	yi xiao bai mei	1	1
一笑置之	yi xiao zhi zhi	1	1
一笔不苟	yi bi bu gou	1	1
一笔勾断	yi bi gou duan	1	1
一笔勾消	yi bi gou xiao	1	1
一笔勾销	yi bi gou xiao	1	1
一笔抹摋	yi bi mo sa	1	1
一笔抹杀	yi bi mo sha	1	1
一笔抹煞	yi bi mo sha	1	1
一筹莫展	yi chou mo zhan	1	1
一箪一瓢	yi dan yi piao	1	1
一箭上垛	yi jian shang duo	1	1
一箭之地	yi jian zhi di	1	1
一箭之遥	yi jian zhi yao	1	1
一箭双雕	yi jian shuang diao	1	1
一篑之功	yi kui zhi gong	1	1
一簧两舌	yi huang liang she	1	1
一索得男	yi suo de nan	1	1
一索成男	yi suo cheng nan	1	1
一纸千金	yi zhi qian jin	1	1
一纸空文	yi zhi kong wen	1	1
一线之路	yi xian zhi lu	1	1
一线生机	yi xian sheng ji	1	1
一统天下	yi tong tian xia	1	1
一缘一会	yi yuan yi hui	1	1
一网尽扫	yi wang jin sao	1	1
一网打尽	yi wang da jin	1	1
一而光	yi er guang	1	1
一股脑儿	yi gu nao er	1	1
一肢一节	yi zhi yi jie	1	1
一肢半节	yi zhi ban jie	1	1
一脉同气	yi mai tong qi	1	1
一脉相传	yi mai xiang chuan	1	1
一脉相承	yi mai xiang cheng	1	1
一脉相通	yi mai xiang tong	1	1
一脉香烟	yi mai xiang yan	1	1
一脚不移	yi jiao bu yi	1	1
一臂之力	yi bi zhi li	1	1
一至于斯	yi zhi yu si	1	1
一至于此	yi zhi yu ci	1	1
一致百虑	yi zhi bai lv	1	1
一般无二	yi ban wu er	1	1
一般见识	yi ban jian shi	1	1
一花独放	yi hua du fang	1	1
一苇可航	yi wei ke hang	1	1
一草一木	yi cao yi mu	1	1
一落千丈	yi luo qian zhang	1	1
一薰一莸	yi xun yi you	1	1
一虎不河	yi hu bu he	1	1
一蛇两头	yi she liang tou	1	1
一蟹不如一蟹	yi xie bu ru yi xie	1	1
一行作吏	yi xing zuo li	1	1
一衣带水	yi yi dai shui	1	1
一表人才	yi biao ren cai	1	1
一表人材	yi biao ren cai	1	1
一表人物	yi biao ren wu	1	1
一表堂堂	yi biao tang tang	1	1
一表非俗	yi biao fei su	1	1
一表非凡	yi biao fei fan	1	1
一褱而论	yi huai er lun	1	1
一见了然	yi jian le ran	1	1
一见倾心	yi jian qing xin	1	1
一见如故	yi jian ru gu	1	1
一见如旧	yi jian ru jiu	1	1
一见钟情	yi jian zhong qing	1	1
一视同仁	yi shi tong ren	1	1
一览无余	yi lai wu yu	1	1
一览无遗	yi lai wu yi	1	1
一觞一咏	yi shang yi yong	1	1
一触即发	yi chu ji fa	1	1
一触即溃	yi chu ji kui	1	1
一言一行	yi yan yi xing	1	1
一言不发	yi yan bu fa	1	1
一言两语	yi yan liang yu	1	1
一言丧邦	yi yan sang bang	1	1
一言中的	yi yan zhong di	1	1
一言为定	yi yan wei ding	1	1
一言九鼎	yi yan jiu ding	1	1
一言以蔽之	yi yan yi bi zhi	1	1
一言兴邦	yi yan xing bang	1	1
一言千金	yi yan qian jin	1	1
一言半句	yi yan ban ju	1	1
一言半语	yi yan ban yu	1	1
一言半辞	yi yan ban ci	1	1
一言堂	yi yan tang	1	1
一言难尽	yi yan nan jin	1	1
一语中人	yi yu zhong ren	1	1
一语中的	yi yu zhong di	1	1
一语双关	yi yu shuang guan	1	1
一语破的	yi yu po di	1	1
一语道破	yi yu dao po	1	1
一误再误	yi wu zai wu	1	1
一诺千金	yi nuo qian jin	1	1
一诺无辞	yi nuo wu ci	1	1
一谦四益	yi qian si yi	1	1
一谷不升	yi gu bu sheng	1	1
一谷不登	yi gu bu deng	1	1
一败如水	yi bai ru shui	1	1
一败涂地	yi bai tu di	1	1
一贫如洗	yi pin ru xi	1	1
一资半级	yi zi ban ji	1	1
一走了之	yi zou liao zhi	1	1
一跌不振	yi die bu zhen	1	1
一路平安	yi lu ping an	1	1
一路神祇	yi lu shen qi	1	1
一路福星	yi lu fu xing	1	1
一路货色	yi lu huo se	1	1
一路顺风	yi lu shun feng	1	1
一路风尘	yi lu feng chen	1	1
一路风清	yi lu feng qing	1	1
一蹴可几	yi cu ke ji	1	1
一蹴而就	yi cu er jiu	1	1
一蹴而得	yi cu er de	1	1
一蹴而成	yi cu er cheng	1	1
一蹶不兴	yi jue bu xing	1	1
一蹶不振	yi jue bu zhen	1	1
一身两头	yi shen liang tou	1	1
一身两役	yi shen liang yi	1	1
一身二任	yi shen er ren	1	1
一身五心	yi shen wu xin	1	1
一身是胆	yi shen shi dan	1	1
一身而二任	yi shen er er ren	1	1
一身都是胆	yi shen dou shi dan	1	1
一轨同风	yi gui tong feng	1	1
一辞同轨	yi ci tong gui	1	1
一辞莫赞	yi ci mo zan	1	1
一迎一和	yi ying yi he	1	1
一还一报	yi huan yi bao	1	1
一退六二五	yi tui liu er wu	1	1
一通百通	yi tong bai tong	1	1
一邱之貉	yi qiu zhi he	1	1
一重一掩	yi chong yi yan	1	1
一针一线	yi zhen yi xian	1	1
一针一缐	yi zhen yi yu	1	1
一针见血	yi zhen jian xie	1	1
一钱不值	yi qian bu zhi	1	1
一钱不名	yi qian bu ming	1	1
一钱不落虚空地	yi qian bu luo xu kong di	1	1
一钱如命	yi qian ru ming	1	1
一锤子买卖	yi chui zi mai mai	1	1
一锤定音	yi chui ding yin	1	1
一长一短	yi chang yi duan	1	1
一长两短	yi chang liang duan	1	1
一长二短	yi chang er duan	1	1
一长半短	yi chang ban duan	1	1
一门同气	yi men tong qi	1	1
一门心思	yi men xin si	1	1
一问三不知	yi wen san bu zhi	1	1
一闻千悟	yi wen qian wu	1	1
一阶半级	yi jie ban ji	1	1
一阶半职	yi jie ban zhi	1	1
一隅三反	yi yu san fan	1	1
一隅之地	yi yu zhi di	1	1
一隅之见	yi yu zhi jian	1	1
一隅之说	yi yu zhi shuo	1	1
一雕双兔	yi diao shuang tu	1	1
一雷二闪	yi lei er shan	1	1
一面之交	yi mian zhi jiao	1	1
一面之款	yi mian zhi kuan	1	1
一面之缘	yi mian zhi yuan	1	1
一面之识	yi mian zhi shi	1	1
一面之词	yi mian zhi ci	1	1
一面之辞	yi mian zhi ci	1	1
一面之雅	yi mian zhi ya	1	1
一面如旧	yi mian ru jiu	1	1
一鞭一条痕	yi bian yi tiao hen	1	1
一鞭先著	yi bian xian zhuo	1	1
一顾倾城	yi gu qing cheng	1	1
一顾千金	yi gu qian jin	1	1
一颦一笑	yi pin yi xiao	1	1
一风吹	yi feng chui	1	1
